冮 	\nr\
青岛港 	\ns\
青岛港人 	\n\
青岛人 	\n\
青岛市 	\ns\
青灯 	\n\
青峰 	\n\
青工 	\n\
青海 	\ns\
青海地区	\ns\
青海高原	\ns\
青海玉树藏族自治州天然草原牧场	\ns\
青红皂白 	\i\
青花 	\n\
青花瓷 	\n\
青黄不接 	\i\
青椒 	\n\
青空 	\n\
青枯病 	\n\
青联 	\j\
青龙刀 	\n\
青楼 	\n\
青绿 	\b\
青马 	\ns\
青嫩 	\a\
青年 	\n\
青年报 	\n\
青年队 	\n\
青年人 	\n\
青年团 	\n\
青农部 	\j\
青浦人 	\n\
青浦县 	\ns\
青青 	\z\
青山 	\nr/ns\
青山堡村 	\ns\
青山冲 	\ns\
青山绿水 	\i\
青山苗族乡	\ns\
青山区 	\ns\
青山乡 	\ns\
青少年 	\n\
青少年宫 	\n\
青石板 	\n\
青史 	\n\
青丝 	\n\
青苔 	\n\
青田 	\ns\
青铜 	\n\
青铜器 	\n\
青衣 	\n\
青玉 	\n\
青云 	\n\
青云直上 	\i\
青州市 	\ns\
青竹 	\n\
青壮年 	\n\
青岚 	\n\
青睐 	\vn\
青稞 	\n\
轻 	\ad/j/v\
轻薄 	\a\
轻便 	\a\
轻车熟路 	\i\
轻吃重玩 	\l\
轻度 	\d\
轻而易举 	\i\
轻纺化 	\j\
轻风 	\n\
轻浮 	\a\
轻工 	\n\
轻工业 	\n\
轻工业品 	\n\
轻举妄动 	\i\
轻快 	\a\
轻率 	\ad/an\
轻蔑 	\v\
轻飘 	\a\
轻骑 	\n\
轻骑兵 	\n\
轻骑队 	\n\
轻桥 	\nz\
轻轻 	\d/z\
轻轻的 	\z\
轻轻地 	\z\
轻轻松松 	\z\
轻取 	\v\
轻柔 	\a\
轻伤 	\n\
轻声 	\ad/d\
轻视 	\v\
轻松 	\ad\
轻体房 	\n\
轻微 	\a\
轻武器 	\n\
轻喜剧 	\n\
轻信 	\v\
轻型 	\b\
轻易 	\d\
轻音乐 	\n\
轻盈 	\a\
轻重缓急 	\i\
轻装 	\d/n\
轻装简从 	\i\
轻装简行 	\l\
氢 	\n\
氢气 	\n\
倾 	\v\
倾倒 	\v\
倾家荡产 	\i\
倾尽 	\v\
倾盆大雨 	\i\
倾诉 	\v\
倾听 	\v\
倾吐 	\v\
倾向 	\n/v\
倾向性 	\n\
倾销 	\v\
倾斜 	\vn\
倾泻 	\vn\
倾心 	\ad/v\
倾注 	\v\
卿 	\Ng\
清 	\Tg/a/v\
清白 	\an\
清仓 	\v\
清茶 	\n\
清查 	\vn\
清产核资 	\l\
清偿 	\v\
清唱 	\vn\
清朝 	\t\
清澈 	\an\
清晨 	\t\
清除 	\vn\
清楚 	\ad/nr/v\
清脆 	\a\
清代 	\t\
清单 	\n\
清淡 	\a\
清房办 	\j\
清肺利胆 	\l\
清费治乱减负 	\l\
清丰 	\ns\
清丰县 	\ns\
清风 	\n\
清福 	\n\
清宫 	\n\
清官 	\n\
清河县 	\ns\
清华 	\j/nr\
清华园 	\ns\
清剿 	\v\
清洁 	\ad/vn\
清洁费 	\n\
清洁工 	\n\
清洁员 	\n\
清静 	\a\
清净 	\a\
清苦 	\a\
清莱 	\ns\
清理 	\vn\
清丽 	\nr/z\
清廉 	\an\
清凉 	\a\
清凉油 	\n\
清亮 	\a\
清流 	\n\
清迈 	\ns\
清明 	\a/t\
清末 	\t\
清盘 	\vn\
清贫 	\an\
清平乐 	\nz\
清清楚楚 	\z\
清清亮亮 	\z\
清热解暑 	\l\
清人 	\n\
清嗓润肺 	\l\
清扫 	\vn\
清扫工 	\n\
清史 	\nz\
清瘦 	\a\
清爽爽 	\z\
清水河 	\ns\
清算 	\vn\
清退 	\v\
清晰 	\ad\
清晰度 	\n\
清晰可见 	\l\
清溪 	\n\
清洗 	\vn\
清闲 	\a\
清香 	\a/n\
清新 	\an\
清心 	\a\
清醒 	\ad/an\
清醒剂 	\n\
清秀 	\a\
清虚观 	\n\
清一色 	\i\
清淤 	\v\
清运车 	\n\
清早 	\t\
清障车 	\n\
清真 	\b\
清真寺 	\n\
清正 	\a\
清正廉洁 	\l\
清冽 	\a\
清洌洌 	\z\
清妍 	\a\
擎 	\v\
擎天 	\v\
晴 	\nr/v\
晴到多云 	\l\
晴到少云 	\l\
晴好 	\a\
晴间多云 	\l\
晴空 	\n\
晴空万里 	\l\
晴朗 	\a\
晴天 	\n\
晴雨表 	\n\
情 	\Ng/n\
情报 	\n\
情报界 	\n\
情报局 	\n\
情报署 	\n\
情报所 	\n\
情变 	\n\
情不自禁 	\i\
情操 	\n\
情潮 	\n\
情仇 	\n\
情调 	\n\
情感 	\n\
情歌 	\n\
情话 	\n\
情怀 	\n\
情节 	\n\
情节化 	\vn\
情节线 	\n\
情节性 	\n\
情结 	\n\
情景 	\n\
情境 	\n\
情况 	\n\
情理 	\n\
情理之中 	\l\
情面 	\n\
情趣 	\n\
情人 	\n\
情人楼 	\n\
情势 	\n\
情思 	\n\
情丝 	\n\
情同手足 	\i\
情投意合 	\i\
情形 	\n\
情绪 	\n\
情意 	\n\
情谊 	\n\
情有独钟 	\l\
情缘 	\n\
情韵 	\n\
情真意切 	\l\
情真意挚 	\l\
情致 	\n\
情质 	\n\
情愫 	\n\
情殇 	\v\
顷 	\q\
顷刻 	\d\
顷刻间 	\t\
请 	\v\
请假 	\v\
请柬 	\n\
请教 	\vn\
请客 	\v\
请来 	\v\
请求 	\n/vn\
请示 	\vn\
请问 	\v\
请勿 	\v\
请缨 	\v\
请战 	\v\
庆 	\Vg/nr\
庆春 	\nr/v\
庆典 	\n\
庆典型 	\n\
庆凤鸣 	\nz\
庆功 	\vn\
庆功曲 	\n\
庆贺 	\vn\
庆回归 	\v\
庆祝 	\vn\
庆祝会 	\n\
庆祝性 	\b\
琼 	\Ng/j/nr\
琼浆 	\n\
琼剧院 	\n\
琼山 	\ns\
琼山市 	\ns\
穷 	\Vg/an/d/j\
穷抖阔 	\l\
穷根 	\n\
穷根究底 	\i\
穷光蛋 	\n\
穷国 	\n\
穷尽 	\v\
穷困 	\a\
穷帽 	\n\
穷亲 	\n\
穷人 	\n\
穷山恶山 	\l\
穷山恶水 	\i\
穷源溯流 	\i\
穷则思变 	\i\
穷追 	\v\
穷追不舍 	\i\
穷追猛打 	\l\
秋 	\Ng/Tg/nr\
秋播 	\v\
秋波 	\n\
秋冬季 	\t\
秋冬种 	\v\
秋后 	\t\
秋后算账 	\i\
秋季 	\t\
秋菊 	\n\
秋千 	\n\
秋日 	\t\
秋收 	\vn\
秋收起义 	\nz\
秋天 	\t\
秋夜 	\t\
秋种 	\v\
秋庄稼 	\n\
丘岗 	\n\
丘陵 	\n\
丘陵区 	\s\
丘鹬 	\n\
邱北 	\ns\
邱北县 	\ns\
邱少云纪念馆	\ns\
邱少云烈士纪念馆	\ns\
邱县 	\ns\
邱县人 	\n\
球 	\n\
球场 	\n\
球蛋白 	\n\
球道 	\n\
球队 	\n\
球技 	\n\
球类 	\n\
球类室 	\n\
球粒 	\n\
球迷 	\n\
球情 	\n\
球赛 	\n\
球市 	\n\
球星 	\n\
球员 	\n\
求 	\v\
求得 	\v\
求购者 	\n\
求婚 	\v\
求教 	\v\
求进 	\v\
求谋问计 	\l\
求情 	\v\
求饶 	\v\
求人 	\v\
求生 	\v\
求实 	\vn\
求是 	\nz\
求索 	\vn\
求同存异 	\i\
求仙记 	\n\
求新 	\v\
求学 	\vn\
求业 	\v\
求医 	\v\
求异 	\v\
求雨 	\v\
求援 	\v\
求援者 	\n\
求真 	\v\
求真务实 	\l\
求知 	\vn\
求知若渴 	\i\
求之不得 	\i\
求职 	\vn\
求职者 	\n\
求治 	\v\
求助 	\vn\
求助信 	\n\
囚 	\Vg\
囚犯 	\n\
囚徒 	\n\
酋长国 	\n\
泅渡 	\v\
趋 	\v\
趋利避害 	\i\
趋利性 	\n\
趋势 	\n\
趋同 	\vn\
趋向 	\n/vn\
趋向性 	\n\
趋于 	\v\
区别 	\n/vd\
区长 	\n\
区带 	\n\
区党委 	\n\
区段 	\n\
区分 	\vn\
区划 	\n\
区划图 	\n\
区级 	\b\
区际 	\n\
区间 	\n\
区界 	\n\
区块 	\n\
区内外 	\f\
区区 	\b/z\
区属 	\b\
区委 	\n\
区位 	\n\
区域 	\n\
区域化 	\vn\
区域性 	\n\
区政府 	\n\
区直 	\j\
曲 	\Ng/nr/q\
曲（沃） 	\ns\
曲（沃）高（平）公路	\nz\
曲辞 	\n\
曲调 	\n\
曲解 	\v\
曲径通幽 	\i\
曲靖 	\ns\
曲目 	\n\
曲谱 	\n\
曲曲弯弯的 	\z\
曲线 	\n\
曲艺 	\n\
曲艺团 	\n\
曲折 	\an\
曲终人散 	\l\
曲子 	\n\
躯 	\Ng\
躯干 	\n\
躯体 	\n\
屈 	\nr/v\
屈从 	\v\
屈服 	\v\
屈居 	\v\
屈辱 	\n\
屈指可数 	\i\
驱 	\Vg\
驱车 	\vd\
驱动 	\vn\
驱动力 	\n\
驱动器 	\n\
驱赶 	\v\
驱散 	\v\
驱使 	\vn\
驱邪 	\v\
驱逐 	\v\
驱逐舰 	\n\
驱逐舰长 	\n\
渠 	\n\
渠道 	\n\
渠网 	\n\
取 	\vn\
取保 	\vn\
取报 	\v\
取材 	\v\
取出 	\v\
取存款 	\j\
取代 	\v\
取得 	\vn\
取缔 	\vn\
取而代之 	\i\
取回 	\v\
取静集 	\n\
取决 	\v\
取决于 	\v\
取款 	\v\
取乐 	\v\
取名 	\v\
取暖 	\vn\
取暖器 	\n\
取舍 	\vn\
取胜 	\vn\
取水 	\v\
取水口 	\n\
取土 	\v\
取息 	\v\
取向 	\n/vn\
取消 	\v\
取信 	\v\
取信于民 	\l\
取样 	\vn\
取证 	\vn\
取之不尽 	\i\
娶 	\v\
龋齿 	\n\
趣 	\Ag/Ng\
趣事 	\n\
趣味 	\n\
趣味性 	\n\
趣闻 	\n\
去 	\v\
去除 	\v\
去处 	\n\
去掉 	\v\
去冬 	\t\
去留 	\v\
去路 	\n\
去年 	\t\
去年初 	\t\
去年底 	\t\
去年末 	\t\
去秋 	\t\
去世 	\v\
去岁 	\t\
去夏 	\t\
去向 	\n\
去耦 	\vn\
圈 	\n/q/v\
圈点 	\v\
圈定 	\v\
圈套 	\n\
圈养 	\vn\
圈子 	\n\
权 	\Ng/nr\
权贵 	\n\
权衡 	\v\
权利 	\n\
权力 	\n\
权力电 	\n\
权势 	\n\
权势电 	\n\
权属 	\n\
权威 	\a/n\
权威性 	\n\
权限 	\n\
权宜之计 	\i\
权益 	\n\
权益部 	\n\
权责 	\n\
权智 	\nz\
泉 	\Ng/nr\
泉城 	\ns\
泉池 	\n\
泉林 	\ns\
泉水 	\n\
泉永 	\nz\
泉州 	\ns\
全 	\a/d/nr\
全班 	\n\
全部 	\m/n\
全场 	\n\
全长 	\n\
全厂 	\n\
全程 	\n\
全村 	\n\
全村人 	\n\
全党 	\n\
全党外 	\s\
全都 	\d\
全队 	\n\
全额 	\n\
全方位 	\n\
全封闭 	\b\
全封闭式 	\n\
全福 	\n\
全港 	\n\
全攻全守 	\l\
全馆 	\n\
全国“三八”红旗手	\nz\
全国金融工作会议	\nz\
全国男篮甲Ａ联赛	\nz\
全国男子篮球甲Ｂ比赛	\nz\
全国农业展览馆	\ns\
全国五一劳动奖章	\nz\
全国性 	\n\
全国优秀儿童文学奖	\nz\
全国政协礼堂	\ns\
全会 	\n\
全集 	\n\
全家 	\n\
全家福 	\n\
全家人 	\n\
全加 	\j\
全歼 	\vn\
全景式 	\n\
全境 	\n\
全局 	\n\
全局性 	\n\
全剧 	\n\
全军 	\n\
全矿 	\n\
全立交 	\b\
全力 	\d/nz\
全力以赴 	\i\
全路 	\n\
全貌 	\n\
全美 	\n\
全面 	\ad\
全民 	\n\
全民公决 	\l\
全民性 	\n\
全能 	\n\
全能化 	\v\
全能型 	\n\
全年 	\n\
全盘 	\d\
全球 	\n\
全球化 	\vn\
全球化史 	\n\
全球性 	\n\
全区 	\n\
全权 	\n\
全然 	\d\
全日 	\n\
全日空 	\nz\
全日空杯 	\nz\
全日制 	\n\
全身 	\b/n\
全身心 	\d\
全身性 	\n\
全省 	\n\
全世界 	\n\
全市 	\n\
全市性 	\n\
全书 	\n\
全顺 	\nr/nz\
全唐诗 	\n\
全套 	\n\
全体 	\n\
全天候 	\b/d\
全天然 	\b\
全团 	\n\
全委 	\j\
全文 	\n\
全息 	\n\
全县 	\n\
全线 	\n\
全乡 	\n\
全校 	\n\
全新 	\b\
全心全意 	\i\
全行 	\n\
全训率 	\n\
全优 	\z\
全员 	\n\
全员性 	\n\
全院 	\n\
全运会 	\j\
全寨 	\n\
全站 	\n\
全镇 	\n\
全州 	\n\
全资 	\n\
全自动 	\b\
全总 	\j\
痊愈 	\v\
拳 	\n/q\
拳打脚踢 	\i\
拳击 	\n\
拳脚 	\n\
拳拳之心 	\i\
拳术 	\n\
拳台 	\j\
拳头 	\n\
拳头产品 	\n\
犬儒主义 	\n\
犬牙交错 	\i\
券桥乡 	\ns\
券商 	\n\
劝 	\v\
劝导 	\vn\
劝告 	\vn\
劝诫 	\v\
劝说 	\v\
劝慰 	\vn\
劝业 	\nz\
劝阻 	\vn\
缺 	\n/v\
缺点 	\n\
缺乏 	\vn\
缺乏症 	\n\
缺房户 	\n\
缺憾 	\n\
缺斤短两 	\l\
缺斤少两 	\l\
缺斤又短两 	\l\
缺口 	\n\
缺少 	\v\
缺失 	\n\
缺水 	\vn\
缺水量 	\n\
缺损 	\vn\
缺席 	\v\
缺陷 	\n\
缺血 	\v\
缺氧 	\vn\
缺一不可 	\i\
缺医少药 	\l\
缺阵 	\v\
缺字 	\n\
炔雌醚 	\n\
炔诺酮 	\n\
瘸 	\v\
却 	\Vg/c/d\
却说 	\v\
确 	\d/nr\
确保 	\d/v\
确定 	\a/v\
确乎 	\d\
确立 	\vn\
确切 	\a\
确确实实 	\z\
确认 	\vn\
确实 	\ad/d\
确信 	\v\
确凿 	\a\
确诊 	\v\
雀 	\Ng\
雀巢 	\nz\
雀跃 	\v\
裙 	\Ng\
裙带关系 	\l\
群 	\Ng/nr/q\
群策群力 	\i\
群岛 	\n\
群雕 	\n\
群发 	\v\
群芳 	\n\
群芳争艳 	\l\
群防群治 	\l\
群峰 	\n\
群工 	\j\
群居 	\v\
群龙无首 	\i\
群落 	\n\
群起 	\d\
群情 	\n\
群群 	\q\
群山 	\n\
群体 	\n\
群贤毕至 	\i\
群星 	\n\
群星荟萃 	\l\
群雄 	\n\
群雄逐鹿 	\l\
群燕 	\n\
群英会 	\n\
群英谱 	\n\
群众 	\n\
群众性 	\n\
群众运动 	\l\
群众组织 	\l\
然 	\c/nr/r\
然而 	\c\
然后 	\c/d\
燃 	\Vg\
燃爆 	\v\
燃放 	\vn\
燃放点 	\n\
燃料 	\n\
燃料油 	\n\
燃眉之急 	\i\
燃起 	\v\
燃器具 	\n\
燃气 	\n\
燃烧 	\vn\
燃烧器 	\n\
燃油 	\b/n\
冉冉 	\d\
染 	\v\
染毒 	\vn\
染发 	\v\
染发剂 	\n\
染料 	\n\
染色体 	\n\
染上 	\v\
瓤子 	\n\
嚷 	\v\
嚷嚷 	\v\
让 	\v\
让步 	\vn\
让出 	\v\
让道 	\v\
让给 	\v\
让利 	\v\
让路 	\v\
让位 	\v\
让行 	\v\
让座 	\v\
饶有 	\v\
饶有兴趣 	\l\
饶有兴致 	\l\
扰 	\v\
扰动 	\vn\
扰乱 	\v\
扰民 	\vn\
绕 	\v\
绕道 	\v\
绕梁 	\v\
绕行 	\v\
绕组 	\n\
惹 	\v\
热 	\a/j/k/n/v\
热爱 	\vn\
热病 	\n\
热茶 	\n\
热潮 	\n\
热忱 	\ad/an/n\
热诚 	\ad/an\
热带 	\n\
热带雨林 	\n\
热点 	\n\
热电厂 	\n\
热镀锌 	\n\
热度 	\n\
热风 	\n\
热风炉 	\n\
热狗 	\n\
热呼呼 	\z\
热乎乎 	\z\
热火朝天 	\i\
热炕 	\n\
热科院 	\j\
热浪 	\n\
热泪 	\n\
热泪盈眶 	\l\
热力 	\n\
热连轧 	\j\
热量 	\n\
热烈 	\ad/an\
热流 	\n\
热络 	\v\
热门 	\an\
热敏 	\nz\
热闹 	\an\
热闹非凡 	\l\
热农大 	\j\
热气 	\n\
热气球 	\n\
热气腾腾 	\i\
热切 	\ad\
热情 	\ad/an\
热情洋溢 	\l\
热区 	\n\
热热闹闹 	\z\
热身 	\vn\
热身赛 	\l/n\
热水 	\n\
热水瓶 	\n\
热水器 	\n\
热汤面 	\n\
热腾腾 	\z\
热土 	\n\
热望 	\vn\
热线 	\n\
热销 	\vn\
热心 	\ad/an/v\
热心肠 	\n\
热心人 	\n\
热学 	\n\
热血 	\n\
热涨 	\v\
热衷 	\vn\
热转印 	\l\
仁川 	\ns\
仁德 	\a/nr\
仁人志士 	\n\
仁学 	\n\
仁以恤民 	\l\
人 	\n/v\
人保 	\j\
人本 	\n\
人本精神 	\n\
人才 	\n\
人才辈出 	\i\
人才济济 	\i\
人才库 	\n\
人财物 	\j\
人参 	\n\
人称 	\n\
人次 	\n/q\
人大 	\j\
人大代表 	\n\
人代会 	\j\
人道 	\n\
人道主义 	\n\
人丁 	\n\
人儿 	\n\
人犯 	\n\
人防 	\n\
人浮于事 	\i\
人格 	\n\
人工 	\b/d/n\
人工流产 	\l\
人海 	\n\
人化 	\vn\
人机 	\n\
人迹 	\n\
人迹罕至 	\i\
人际 	\n\
人际关系 	\n\
人家 	\n/r\
人间 	\n\
人杰地灵 	\i\
人均 	\j\
人均收入 	\n\
人孔 	\n\
人口 	\n\
人口报 	\n\
人口数 	\n\
人来人往 	\i\
人类 	\n\
人类学 	\n\
人力 	\n\
人流 	\n\
人流量 	\n\
人伦 	\n\
人马 	\n\
人满为患 	\i\
人们 	\k/n\
人民 	\n\
人民报 	\n\
人民币 	\n\
人民大会堂	\ns\
人民代表 	\n\
人民党 	\n\
人民法院 	\l\
人民公社 	\l\
人民警察 	\l\
人民剧场	\ns\
人民军 	\n\
人民路 	\ns\
人民日报 	\nz\
人民团体 	\l\
人民性 	\n\
人民战争 	\n\
人民政府 	\l\
人名 	\n\
人母 	\n\
人脑 	\n\
人品 	\n\
人情 	\n\
人情电 	\n\
人情关 	\n\
人情债 	\n\
人权 	\n\
人权会 	\n\
人权学 	\n\
人群 	\n\
人人 	\n\
人山人海 	\i\
人身 	\n\
人身险 	\n\
人声 	\n\
人声鼎沸 	\i\
人生观 	\n\
人生路 	\n\
人生在勤 	\l\
人生在世 	\i\
人士 	\n\
人世 	\n\
人事 	\n\
人事部门 	\n\
人事处 	\n\
人事局 	\n\
人事权 	\n\
人氏 	\n\
人手 	\n\
人寿 	\n\
人寿保险 	\n\
人数 	\n\
人所共知 	\i\
人体 	\n\
人头 	\n\
人头攒动 	\l\
人为 	\b/d/nr\
人文 	\n\
人文科学 	\l\
人文主义 	\l/n\
人武 	\j\
人武部 	\j/n\
人物 	\n\
人物画 	\n\
人物奖 	\n\
人物史 	\n\
人像 	\n\
人心 	\n\
人心惶惶 	\i\
人心思变 	\l\
人心所向 	\i\
人心悦诚服 	\i\
人形 	\n\
人行道 	\n\
人行横道 	\n\
人性 	\n\
人性化 	\vn\
人选 	\n\
人学 	\n\
人烟稀少 	\l\
人艺 	\j\
人意 	\n\
人影 	\n\
人语 	\n\
人员 	\n\
人缘 	\n\
人愿 	\n\
人云亦云 	\i\
人造 	\b\
人造板 	\n\
人造卫星 	\n\
人证 	\n\
人质 	\n\
人治 	\n\
人中 	\n\
忍 	\v\
忍不住 	\v\
忍俊不禁 	\i\
忍耐 	\v\
忍耐力 	\n\
忍受 	\vn\
忍痛 	\d\
忍痛割爱 	\i\
忍心 	\v\
韧劲 	\n\
任 	\Ng/c/nr/q/v\
任何 	\d/r\
任何人 	\r\
任家村 	\ns\
任教 	\v\
任课 	\vn\
任劳任怨 	\i\
任命 	\vn\
任内 	\s\
任期 	\n\
任其自然 	\i\
任人唯亲 	\i\
任务 	\n/vn\
任性 	\a\
任意 	\b/d\
任意球 	\n\
任用 	\vn\
任由 	\v\
任职 	\vn\
任重道远 	\i\
任重而道远 	\l\
认 	\v\
认出 	\v\
认错 	\v\
认定 	\vn\
认定书 	\n\
认购 	\v\
认捐 	\vn\
认可 	\vn\
认清 	\v\
认认真真 	\z\
认识 	\n/vn\
认识论 	\n\
认输 	\v\
认同 	\vn\
认同感 	\n\
认为 	\v\
认真 	\ad/v\
认证 	\vn\
认证书 	\n\
认知 	\vn\
认罪 	\v\
刃 	\Ng\
刃片 	\n\
妊娠 	\vn\
扔 	\v\
扔下 	\v\
仍 	\d\
仍旧 	\d\
仍然 	\d\
日 	\Ng/j/nr/q\
日Ｋ线图 	\n\
日薄西山 	\i\
日报 	\n\
日报社 	\n\
日本 	\ns\
日本关东甲信地区	\ns\
日本海 	\ns\
日本协力基金	\nz\
日产 	\vn\
日产量 	\n\
日常 	\b\
日常生活型 	\n\
日程 	\n\
日程表 	\n\
日出 	\v\
日出而作 	\i\
日短日稀 	\l\
日方 	\n\
日丰 	\a\
日复一日 	\i\
日高峰 	\n\
日光棚 	\n\
日后 	\t\
日化 	\j\
日积月累 	\i\
日记 	\n\
日记本 	\n\
日见 	\d\
日渐 	\d\
日进斗金 	\i\
日经 	\j\
日经指数 	\n\
日均 	\j\
日军 	\n\
日喀则 	\ns\
日喀则地区	\ns\
日寇 	\n\
日历 	\n\
日利率 	\n\
日立 	\nz\
日隆 	\v\
日落 	\v\
日内 	\t\
日内瓦 	\ns\
日期 	\n\
日前 	\t\
日切村 	\ns\
日趋 	\d\
日全食 	\n\
日日 	\q\
日日夜夜 	\i\
日入而息 	\l\
日晒 	\v\
日晒雨淋 	\i\
日升昌 	\nz\
日食 	\n\
日文 	\nz\
日显 	\v\
日新月异 	\i\
日需求量 	\n\
日夜 	\d/n\
日夜兼程 	\l\
日益 	\d\
日用 	\b/n\
日用品 	\n\
日元 	\n/q\
日月 	\n\
日月如梭 	\i\
日月星辰 	\n\
日增 	\v\
日照 	\ns\
日照市 	\ns\
日照县 	\ns\
日臻成熟 	\l\
日臻完善 	\i\
日志 	\n\
日子 	\n\
戎发 	\nz\
戎衣 	\n\
戎装 	\n\
蓉城 	\ns\
蓉花山镇 	\ns\
蓉园 	\n\
荣 	\Ag/nr\
荣宝斋 	\nz\
荣成市 	\ns\
荣登 	\v\
荣华富贵 	\i\
荣获 	\v\
荣立 	\v\
荣辱 	\n\
荣事达 	\nz\
荣幸 	\an\
荣耀 	\an\
荣誉 	\n\
荣誉感 	\n\
荣誉奖 	\n\
荣誉室 	\n\
荣膺 	\v\
融 	\v\
融合 	\vn\
融化 	\v\
融会 	\v\
融会贯通 	\i\
融洽 	\a/vn\
融融 	\z\
融入 	\vn\
融通 	\vn\
融为一体 	\l\
融注 	\v\
融资 	\vn\
融资额 	\n\
融资券 	\n\
熔 	\v\
熔断器 	\n\
熔炼 	\v\
熔炉 	\n\
熔融 	\v\
熔铸 	\v\
溶洞 	\n\
溶化 	\v\
溶剂 	\n\
溶解 	\v\
溶溶 	\z\
溶雪剂 	\n\
溶血磷脂乙醇胺 	\nz\
容 	\Ng/nr/v\
容错 	\b\
容错性 	\n\
容量 	\n\
容貌 	\n\
容纳 	\v\
容器 	\n\
容忍 	\v\
容身 	\v\
容声 	\nz\
容许 	\v\
容颜 	\n\
容易 	\ad\
绒布 	\n\
冗员 	\n\
冗杂 	\a\
揉 	\v\
柔 	\a\
柔波 	\n\
柔道 	\n\
柔和 	\a\
柔曼 	\a\
柔美 	\a\
柔情 	\n\
柔情似水 	\l\
柔柔地 	\z\
柔软 	\an\
柔弱 	\a\
柔术 	\n\
柔顺 	\a\
柔性 	\n\
肉 	\a/n\
肉店 	\n\
肉鸽 	\n\
肉鸡 	\n\
肉类 	\n\
肉联厂 	\n\
肉瘤 	\n\
肉麻 	\a\
肉牛 	\n\
肉品 	\n\
肉色 	\n\
肉食 	\n\
肉丝 	\n\
肉丝面 	\n\
肉馅 	\n\
肉眼 	\n\
肉样 	\n\
肉质 	\n\
肉猪 	\n\
肉孜节 	\t\
茹毛饮血 	\i\
儒 	\Ng\
儒家 	\n\
儒将 	\n\
儒教 	\nz\
儒释道兵 	\j\
儒雅 	\z\
如 	\c/p/v\
如常 	\v\
如痴如狂 	\l\
如痴如醉 	\i\
如春 	\v\
如此 	\r\
如此一来 	\l\
如此这般 	\l\
如法炮制 	\i\
如故 	\v\
如果 	\c/v\
如何 	\r\
如虎添翼 	\i\
如火如荼 	\i\
如饥似渴 	\i\
如今 	\t\
如雷贯耳 	\i\
如雷似火 	\l\
如林 	\z\
如临深渊 	\i\
如梦令 	\nz\
如期 	\d\
如泣如诉 	\i\
如前所述 	\l\
如日中天 	\i\
如若 	\c\
如上所述 	\c\
如诗如画 	\l\
如实 	\d/v\
如是说 	\l\
如数 	\d\
如数家珍 	\i\
如梭 	\v\
如同 	\p/v\
如下 	\vn\
如意 	\an/n\
如愿 	\v\
如愿以偿 	\i\
如约 	\d\
如云 	\z\
如醉如狂 	\i\
如坐针毡 	\i\
如沐薰风 	\l\
辱 	\Ng\
辱骂 	\vn\
辱没门庭 	\l\
乳白色 	\n\
乳粉 	\n\
乳粉Ⅱ 	\n\
乳化 	\v\
乳胶厂 	\n\
乳酪 	\n\
乳名 	\n\
乳品 	\n\
乳品Ⅱ 	\n\
乳品厂 	\n\
乳酸 	\n\
乳透 	\vn\
乳腺癌 	\n\
乳燕营巢 	\i\
乳业 	\n\
乳汁 	\n\
乳制品 	\n\
汝寄 	\nz\
汝寄公路	\nz\
汝阳县 	\ns\
入 	\v\
入场 	\v\
入场券 	\n\
入党 	\vn\
入冬 	\v\
入阁 	\v\
入股 	\v\
入海口 	\n\
入户 	\v\
入会 	\vn\
入境 	\vn\
入境案 	\n\
入境者 	\n\
入口 	\n\
入口处 	\n\
入库 	\v\
入门 	\v\
入盟 	\v\
入梦 	\v\
入木三分 	\i\
入侵 	\vn\
入侵者 	\n\
入秋 	\t/v\
入时 	\a\
入市 	\v\
入室 	\v\
入室弟子 	\n\
入手 	\v\
入睡 	\v\
入托 	\v\
入网 	\v\
入围 	\v\
入围奖 	\n\
入伍 	\vn\
入乡随俗 	\i\
入选 	\vn\
入选者 	\n\
入学 	\vn\
入学率 	\n\
入夜 	\v\
入狱 	\v\
入院 	\vn\
入账 	\v\
入住 	\v\
软 	\a\
软化 	\v\
软环境 	\n\
软件 	\n\
软禁 	\v\
软科学 	\n\
软绵绵 	\z\
软弱 	\a\
软型 	\b\
软硬件 	\j\
软着陆 	\l\
软组织 	\n\
软座 	\n\
蕊 	\Ng/nr\
瑞 	\Ag/j/nr\
瑞典 	\ns\
瑞郎 	\j\
瑞丽 	\ns\
瑞丽姐告镇 	\ns\
瑞丽市 	\ns\
瑞气 	\n\
瑞士 	\ns\
瑞士曼 	\nz\
瑞士制 	\n\
瑞兴 	\nz\
瑞雪 	\n\
瑞雪兆丰年 	\i\
瑞蚨祥 	\nz\
锐 	\Ag/a/nr\
锐步 	\nz\
锐减 	\vn\
锐利 	\a\
锐气 	\n\
锐意 	\d\
润 	\v\
润笔 	\n\
润滑剂 	\n\
润润 	\v\
润色 	\v\
润湿性 	\n\
润物细无声 	\l\
润泽 	\v\
若 	\c/v\
若尔盖 	\ns\
若干 	\m/r\
若果 	\c\
若是 	\c\
若要人不知 	\l\
若隐若现 	\i\
弱 	\a\
弱币 	\n\
弱点 	\n\
弱化 	\v\
弱冷空气 	\n\
弱肉强食 	\i\
弱势 	\n\
弱项 	\n\
弱小 	\a\
弱者 	\n\
弱智 	\b\
撒 	\n/v\
撒播 	\v\
撒放 	\vn\
撒哈拉 	\ns\
撒哈拉沙漠	\ns\
